City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
322,san pedro pochutla,15.7333,-96.4667,24.84,94,100,1.98,MX,1690879634
323,sinnar,13.5691,33.5672,27.89,57,100,9.08,SD,1690879634
324,remire-montjoly,4.9167,-52.2667,25.02,94,0,0.0,GF,1690879635
325,temple,31.0982,-97.3428,30.53,54,0,3.09,US,1690879635
326,anadyr,64.75,177.4833,15.56,72,0,5.81,RU,1690879636
327,arkhangel'sk,64.5401,40.5433,23.67,71,69,3.38,RU,1690879636
328,manado,1.487,124.8455,30.43,70,40,2.57,ID,1690879637
329,hadibu,12.65,54.0333,29.08,63,50,12.48,YE,1690879637
330,kunashak,55.7032,61.5498,25.05,67,77,2.5,RU,1690879637
331,arar,30.9753,41.0381,41.01,6,0,2.06,SA,1690879638
332,collinsville,38.6703,-89.9846,23.34,85,75,2.68,US,1690879486
333,gaziantep,37.0594,37.3825,33.96,21,0,1.54,TR,1690879593
334,sabang,5.8933,95.3214,27.95,76,100,10.46,ID,1690879639
335,maputo,-25.9653,32.5892,20.44,58,52,6.36,MZ,1690879639
336,papao,-17.75,-149.55,22.82,75,17,6.36,PF,1690879639
337,yanahuanca,-10.5167,-76.4986,-1.11,87,62,0.52,PE,1690879640
338,weno,7.4515,151.8468,29.97,84,100,1.54,FM,1690879641
339,awjilah,29.1081,21.2869,32.75,35,0,3.02,LY,1690879641
340,port macquarie,-31.4333,152.9167,14.38,65,0,3.35,AU,1690879641
341,maych'ew,12.7875,39.5422,22.76,41,69,2.3,ET,1690879642
342,ueno-ebisumachi,34.75,136.1333,28.13,79,59,0.35,JP,1690879642
343,el abiodh sidi cheikh,32.893,0.5484,33.18,17,33,5.48,DZ,1690879643
344,ketchikan,55.3422,-131.6461,14.26,94,100,4.63,US,1690879643
345,akureyri,65.6835,-18.0878,9.96,87,75,3.09,IS,1690879644
346,kirakira,-10.4544,161.9205,24.5,90,70,4.28,SB,1690879644
347,palmas,-10.2128,-48.3603,25.93,44,0,3.09,BR,1690879644
348,imbituba,-28.24,-48.6703,16.03,76,30,2.07,BR,1690879627
349,taroa,8.7058,171.2275,28.0,77,100,5.93,MH,1690879645
350,baise city,23.8997,106.6133,30.24,81,97,2.42,CN,1690879645
351,laurel,39.0993,-76.8483,20.91,86,0,0.0,US,1690879505
352,capinopolis,-18.6819,-49.5697,18.44,51,0,2.58,BR,1690879646
353,cabo san lucas,22.8909,-109.9124,29.78,71,1,4.14,MX,1690879311
354,tsiombe,-25.3,45.4833,23.29,62,88,6.17,MG,1690879647
355,wajir,1.7471,40.0573,28.98,51,75,6.69,KE,1690879649
356,piravam,9.8667,76.5,31.99,53,100,4.69,IN,1690879649
357,port lincoln,-34.7333,135.8667,13.19,78,84,2.68,AU,1690879649
358,newcastle,-32.9272,151.7765,17.06,71,0,0.89,AU,1690879400
359,nar'yan-mar,67.6713,53.087,28.74,46,57,4.22,RU,1690879650
360,haiku-pauwela,20.9219,-156.3051,24.47,76,0,7.72,US,1690879651
361,thinadhoo,0.5333,72.9333,28.07,75,69,2.95,MV,1690879651
362,butha-buthe,-28.8333,28.5,4.51,18,0,0.9,LS,1690879651
